Date,Time,Temp (air) (F),Temp (water) (C),Salinity (ppt),pH,DO (mg/L),DO (%),Turbidty (NTU),Flow rate (m/s),Nitrate (mg/L),Nitrite (mg/L),Ammonium (mg/L),Phosphate (mg/L),DO-5 (mg/L),BOD (mg/L),TSS (mg/L),Latitude,Longitude
3/3/23,5:31 PM,53,12.2,0,7.56,10.12,101.5,5.43,0.24,7.5,0,0.25,0.125,8.67,1.45,18.1,37.09783 N,113.61362 W
3/10/23,4:26 PM,56,10.81,0.74,8.26,10.42,103.6,9.39,0.55,2.5,0,0.25,0.25,7.79,2.63,11.7,37.09783 N,113.61362 W
3/25/23,2:45,50,9.67,0.36,8.235,10.86,106,27.5,1.48,2.5,0,0,0.1,8.05,2.81,79,37.09783 N,113.61362 W
3/31/23,5:00 PM,,13,0.43,8.01,9.58,99.1,22.7,1.16,2.5,0,0.25,0.375,6.76,2.82,59.7,37.09783 N,113.61362 W
4/7/23,2:27 PM,66,14.6,0.67,8.15,10.02,107.8,9.88,0.73,5,0,0.375,0.375,,,,37.09783 N,113.61362 W
4/14/23,,,11.5,0.21,8.36,9.84,99.3,128,1.53,2.5,0,0,0.75,3.91,5.93,600.7,37.09783 N,113.61362 W
4/21/23,1:00 PM,70,13.54,0.34,8.26,9.48,102,22.7,1.45,0,0,0,0.1,4.95,4.53,76.7,37.09783 N,113.61362 W
5/5/23,1:30 PM,64,15.48,0.3,8.22,9.04,99.4,17,1.34,0,0,0,0.25,0.48,8.56,76.2,37.09783 N,113.61362 W
5/20/23,12:30 PM,84,20.23,0.24,8.41,8.29,101.1,24.1,1.53,0,0,0,0.25,4.56,3.73,104.2,37.09783 N,113.61362 W
6/2/23,11:31 AM,,19.9,0.31,8.29,8.65,105.2,11.4,0.97,0,0,0.15,0.25,6.48,2.17,83.4,37.09783 N,113.61362 W
6/9/23,11:25 AM,,19.4,0.38,8.34,8.87,105.8,7.61,0.59,2.5,0,0.25,0,3.74,5.13,140.3,37.09783 N,113.61362 W
6/23/23,2:30 PM,,23.24,0.58,8.55,9.92,126.7,2.53,1.27,2.5,0,0.25,0,5.07,4.85,19.5,37.09783 N,113.61362 W
7/7/23,9:09 AM,,18.6,1.43,8.02,7.96,93.8,0.66,0.4,10,0,0.5,0,5.37,2.59,13,37.09783 N,113.61362 W
7/21/23,8:34 AM,82,21.7,1.59,8,9.27,90.6,0.36,0.48,5,0,0.5,0.25,4.17,5.1,10.8,37.09783 N,113.61362 W
8/25/23,4:20 PM,96,27.54,1.59,8.34,7.66,107.9,2.2,0.14,2,0,0.25,0,1.62,6.04,26.67,37.09783 N,113.61362 W
9/10/23,3:15 PM,84,22.35,1.66,8.2,8.09,101.5,4.36,0.61,22.5,0,0.25,0,3.04,5.05,5.67,37.09783 N,113.61362 W
9/23/23,11:15 AM,67,18.2,1.68,8.23,9.78,113.5,1.05,0.19,15,0,0.25,0,6.44,3.34,5.67,37.09783 N,113.61362 W
10/7/23,11:50 AM,72,17.88,1.73,8.28,,,,0.28,7,0,0.25,0,4.3,,2,37.09783 N,113.61362 W
10/21/23,11:30 AM,67,16.04,1.75,8.12,9.26,103.4,,0.14,10,0,0.25,0,7.74,1.52,7.86,37.09783 N,113.61362 W
11/11/23,11:25 AM,48,10.8,1.44,8.28,10.48,102.3,,0.09,10,0,0,0,8.02,2.46,8,37.09783 N,113.61362 W
12/2/23,12:00 AM,48,9.7,1.25,8.3,11.08,105.7,,0.12,5,0,0.25,0,9.69,1.39,14.75,37.09783 N,113.61362 W
12/14/23,3:36 PM,54,9.22,1.11,8.48,11.22,106.5,,0.15,5,0,0.25,0,8.33,2.89,18.75,37.09783 N,113.61362 W
1/13/24,3:15 PM,57,6.55,0.85,8.46,11.88,106.1,,0.45,5,0,0.25,0.1,9.22,2.66,,37.09783 N,113.61362 W
1/26/24,4:00 PM,53,11.94,0.79,8.09,10.19,102.6,,0.57,0,0,0.25,0,,,,37.09783 N,113.61362 W
2/2/24,3:17 PM,,10.2,0.58,8.27,10.46,102.6,99.7,1.11,0,0,0.25,0,,,,37.09783 N,113.61362 W
2/9/24,2:44 PM,46,9.03,0.41,8.67,11.26,107.1,58.6,0.99,0,0,0.125,0,8.43,2.83,,37.09783 N,113.61362 W
2/16/24,3:55 PM,63,12.73,0.8,7.99,10.23,104.4,5.13,0.49,0,0,0.125,0,6.9,3.33,,37.09783 N,113.61362 W
2/23/24,2:11 PM,63,11.17,0.39,7.82,10.54,104.2,34.2,1.16,0,0,0.25,0,7,3.54,,37.09783 N,113.61362 W
3/1/24,2:28 PM,64,14.9,0.75,7.7,9.94,108,11,0.66,0,0,0,0,7.85,2.09,,37.09783 N,113.61362 W
3/8/24,2:49 PM,59,15.5,0.85,8.23,11.17,121.7,2.55,0.6,5,0,0.125,0,9.6,,,37.09783 N,113.61362 W
3/15/24,3:10 PM,54,11.5,0.76,8.12,11.75,118.1,4.49,0.76,2.5,0,0.125,0,,,,37.09783 N,113.61362 W
